smiles,staphylococcus_aureus
CCCCCCCC(O)=N[C@H](C(O)=N[C@@H](Cc1ccccc1)C(O)=N[C@@H](CCC(=O)O)C(O)=N[C@H](C(=O)O)[C@@H](C)CC)C(C)C,0
COc1c(O)c(C)c2c(c1O)COC2=O,0
CO[C@@H]1C(O)=Nc2cccc(O)c2[C@@]1(O)c1ccccc1,0
COc1cc2oc(=O)c3c(O)cc(O)cc3c2cc1O,0
C/C(=C\CC/C(C)=C/C[C@H](O)c1ccoc1)CC/C=C(\C)CC(=O)CC(C)C,0
O=C1CCC(O)c2cccc(O)c21,0
C/C(=C\C[C@]1(O)C(=O)c2c(O)cc(C)c3c(O)c(C)c(O)c(c23)C1=O)CC/C=C(\C)CCC(O)[C@@]1(C)CC[C@@H](C(C)(C)O)O1,0
C/C=C/C(=O)c1c(OC)cc(=O)oc1C,0
Oc1cccc2c1[nH]c1c(C3=C[C@@]4(O)CC/C=C\CCCCN5CC[C@@H]3[C@]3(CC6/C=C\CCCCN6[C@H]34)C5)nccc12,1
COC1O[C@H]2C[C@@](C)(O)[C@H](CC/C(C)=C/[C@H](O)[C@H]3OC(=O)C=C3C)[C@@]3(C)CCC[C@]1(C)[C@H]23,0
COC(=O)c1cc(C)cc2oc3c(Cl)c(OC)cc(O)c3c(=O)c12,0
COc1c(C)cc2c(C(C)C)cc(O)c3c2c1OC3=O,0
CCCCCCCCC[C@@H]1CC(O)=C(C(=O)CC)C(=O)O1,1
C=CC1CN(C)[C@H]2Cc3c([nH]c4ccccc34)[C@H](c3c(OC)ccc4c5c([nH]c34)[C@]3(C(=O)OC)C[C@@H]4C[C@H](CC)[C@@H]3N(CC5)C4O)C[C@H]1C2C(=O)OC,0
CO[C@]1(C)OCCc2c1oc1cc(O)c(O)c(C(=O)O)c1c2=O,0
CC(C)(O)/C=C/c1cccc2nc3cccc(C(=O)O)c3nc12,0
C=C1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2[C@@H]1C,0
C=C(C)[C@@H]1Cc2c(O)c(Cc3c(O)c(C)c(CC)oc3=O)c(O)c(C(=O)[C@@H](C)CC)c2O1,0
COc1cc([C@H]2Oc3ccc(-c4cc(=O)c5c(O)cc(O)cc5o4)cc3O[C@@H]2CO)ccc1O,1
C/C1=C\[C@H]2/C(=C(/C)CC[C@@]3(CO)C(=O)C=C(C(C)C)[C@@H]3CC1)OC(=O)[C@@H]2[C@H](C)O,0
C[C@H](O)C(=O)/C=C/c1cccc(=O)o1,0
C=C(C)[C@@H](O)Cc1c(C)cc(O)cc1Oc1cc(C)cc(O)c1,0
C=CC1=C(C)C(=O)C=C2[C@]13O[C@H]3C[C@H](C(=C)C)[C@@]2(C)CCC(=O)OC,0
CC[C@H]1N=C(O)CN=C(O)[C@](C)(C(C)=O)N=C(O)[C@H](Cc2c[nH]c3cccc(OC)c23)N=C(O)c2csc(n2)[C@@H](C)N=C(O)CN(C)C(=O)/C(=C/CO)N=C1O,0
CO[C@@H](C(=N)O)[C@H](NC(=O)c1ccc(N=C(O)c2ccc([N+](=O)[O-])cc2)cc1)C(=O)Nc1ccc(C(=O)Nc2ccc(C(O)=Nc3ccc(C(=O)O)cc3OC(C)C)c(O)c2OC(C)C)cc1,1
C=C(CO)C1[C@@H](O)[C@H](C(=C)C(=O)OC)[C@@H](OC(=O)C(=C)[C@@H](O)CO)C[C@@]1(C)C(=C)O,1
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,0
CC1(C)C=Cc2c(ccc3[nH]c4cc(O)c(C=O)cc4c23)O1,0
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],1
OC1=N[C@@H](Cc2ccccc2)C(O)=Nc2ccccc21,0
CC1=CC[C@@H]2[C@@]3(O)CC[C@H](O)C(C)(C)[C@@H]3CC[C@@]2(C)[C@]12Cc1c(cc(-c3cccnc3)oc1=O)O2,0
CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O,0
CC(C)C(=O)O[C@@H]1c2c(cc(O)c3c2C(=O)c2cccc(O)c2-3)C(=O)[C@H](C)[C@H]1O,0
COc1c(C)c2c(c(OC)c1C)C(=O)OC2,0
C=C1C[C@@H]2OC(=O)C(=C)[C@H]2[C@@H](O)/C=C(\C)CCC1=O,1
CC(C)(O)[C@H](O)COc1ccc2ccc(=O)oc2c1C[C@H](O)C(C)(C)O,0
CNc1ccc(C(=O)O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,0
CN[C@H]1CO[C@@H](OC[C@H]2O[C@@H](n3c4ccccc4c4c5c(c6c7ccccc7[nH]c6c43)C(=O)N(C)C5=O)[C@H](O)[C@@H](O)[C@@H]2OC)C[C@@H]1O,0
COc1cc(CCc2ccccc2O)cc(O)c1OC,1
COc1c(O)cc(C)nc1O,0
CC(C)=CCc1c[nH]c2ccccc12,0
COC1=CC(=O)c2c(O)c3c(c(O)c2C1=O)C[C@](C)(O)CC3,0
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,0
O=C1C(Br)=CC2(C=C1Br)CCNC1=C2C2=NCCc3c[nH]c(c32)C1=O,0
CC[C@H]1C[C@H]2C[C@@]3(C(=O)OC)c4[nH]c5cc(OC)c(OC)cc5c4CCN(C2O)[C@@H]13,0
CC/C=C1/C=CC(=O)[C@H](O)[C@]12C(=O)N(OC)[C@](C)(O)[C@@H]2O,0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,1
C[C@@H]1OC(=O)/C=C\[C@@H](O)[C@H](C)OC(=O)C[C@H](C)OC(=O)/C=C\[C@H]1O,0
CCCC(O)C/C=C/C1=C(CO)[C@@H]2OC(C)(C)[C@@H](O)C[C@@]23O[C@H]3[C@@H]1O,0
COc1cc2c(cc1C)C(=O)C=C1C2=C(C2=Cc3c(cc(O)c4cc(C)c(OC)cc34)C(C)(C)C2=O)C(=O)C1(C)C,0
CCCCCCCCCCCCCCCC(=O)O,0
C=C1CCC[C@@H]2[C@@](C)(CC[C@H](CCCc3ccoc3)COS(=O)(=O)O)[C@H](C)CC[C@]12C.CN(C)C(=N)N,0
CC[C@H](C)[C@@H]1N=C(O)[C@H](CCC(=N)O)N(C)C(=O)[C@@H](C(C)C)N(C)C(=O)CN=C(O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N=C(O)[C@H]([C@@H](C)CC)OC(=O)[C@H](CCC(=O)O)N(C)C(=O)[C@H](C(C)C)N=C(O)[C@@H]2CCCN2C1=O,0
C[C@@H]1O[C@@H](Oc2cccc3nc4c(O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)cccc4nc23)[C@H](O)[C@H](O)[C@H]1O,0
CCCCCCCCO[C@@H]1O[C@@H](C)[C@H](OC(=O)CCCCC)[C@@H](O[C@@H]2O[C@@H](C)[C@H](OC(C)=O)[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC(C)=O)[C@@H](O)[C@H]3O)[C@H]2OC(C)=O)[C@H]1O,0
C=C(C)[C@@H]1CC[C@@]2(C)OC3=C(C[C@@H]12)C(=O)[C@]1(O)CO[C@H]3C1,0
CCC(C)C(=O)c1c(O)cc(O)c(C/C=C(\C)CCC=C(C)C)c1O,0
CC(C)=CC(=O)C1=C[C@H](O)[C@]2(O)C[C@H](C(C)(C)O)O[C@H]2C1,0
C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@]12C)C(=O)O,0
COc1cc(O)c2c(c1OC)OC/C(=C\c1ccc(O)c(O)c1)C2=O,0
CCCCCCCCCCC/C=C/C[C@H](OS(=O)(=O)O)[C@H](O)[C@H](N)CO,0
O=C1C=C[C@]2(C=C1Br)CCNC1=C2C2=NCCc3c[nH]c(c32)C1=O,0
