smiles,activity
COc1cc2ccc(=O)oc2c(c1O)O,1
OC/C/1=CCC/C(=C/[C@@H]2[C@@H]([C@@H](C1)O)C(=C)C(=O)O2)/C,1
CCCC(=O)O[C@H]1[C@H](C(C)C)[C@@H]2[C@@H]([C@H]3/C=C(/C)[C@H](CC[C@](C)([C@@H]2O3)OC(=O)CCC)O)[C@@](C)([C@@H]1OC(=O)C)O,1
CC1(C)CC[C@H]([C@]2(C)[C@@H](C=O)C(=CC[C@@H]12)C=O)OC(=O)/C=C/c1ccc(cc1)O,1
C/C(=CCc1c(CCC(=O)c2ccc(cc2O)O)ccc(c1O)O)/CCC=C(C)C,1
O[C@@H]1C[C@@]2(C)C(=C[C@@H]1O)C(=O)C=C1[C@@H]2CC[C@]2([C@@]1(O)CC[C@@H]2[C@@H](CCCC(O)(C)C)C)C,1
Cc1cc(cc(c1C(=O)O)[O-])OC(=O)c1c(C)cc(cc1O)OC,1
COC(CC(=O)OC1(CC(C(C(C1)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O)C(=O)O)C3=CC(=C(C=C3)O)O,1
CCCCC/C=CC=CC12O[C@H]3[C@](O1)(C(=C)C)[C@@H]([C@H]([C@@]1(O2)[C@H]3[C@@H]2O[C@@]2([C@H]([C@]2([C@H]1C=C(C2=O)C)O)O)CO)C)OC(=O)C,1
C=CCCC#CC#CC#CC=CCCCCC1CC(OC1=O)CO,1
CC(CCCCCCCCCO)CCCCCCCCOCC(COC1C(C(C(CO1)O)O)O)OC2C(C(C(C(O2)CO)O)O)N,1
CC(C)C1=C(C(=C2C(=C1)CCC3C2(CCCC3(C)C)C(=O)OC)O)OC,1
CCCCCC[C@@H](C/C=CCCCCCCCc1cc(cc(c1)O)O)O,1
CO[C@H]1CC(=O)[C@]2(C[C@@H]1O)CC(=O)O[C@@H]2/C=C(/CCC=C(C)C)C,1
O=C1O[C@H]2[C@](C1=C)(O)C[C@]1([C@@]3(C2)O[C@H]3CC[C@@H]1C)C,1
CC(=CC[C@H]([C@H]([C@H]1CC[C@@]2([C@]1(C)CCC1=C2CC[C@@H]2[C@]1(C)CC[C@@H](C2(C)C)O)C)C)O)C,1
COc1cc(O)cc(c1CCC(=O)c1ccc(cc1)O)OC,1
CC(=O)O[C@H]1C[C@H](Br)C(O[C@@]1(C)[C@H]1C[C@@H](Br)[C@](C[C@@H]1O)(C)Cl)(C)C,1
C[C@@]1(C[C@H]2[C@H](C[C@H]1O)C(=O)c1c(cc(c(c1[C@@H]2O)O)OC)O)O,1
C/C/1=CCC[C@]2(C)[C@@H]([C@@H]3[C@@H](CC1)C(=C)C(=O)O3)O2,1
COc1cc(cc(c1O)OC)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@@H](c2c1cc1OCOc1c2)O[C@@H]1O[C@@H]2CO[C@H](O[C@H]2[C@@H]([C@H]1O)O)C,1
OCC1(C)C(=O)CC[C@]2([C@H]1CC=C1C2=CC[C@]2([C@@]1(C)C[C@H]([C@@H]2[C@H](C(=O)O)CCC(=C)C(C)C)O)C)C,1
C=CC(C)(C)c1c(c2ccccc2[nH]1)C1=C(C(=O)C(=C(C1=O)OC)c1c[nH]c2ccccc12)OC,1
CC(=O)O[C@@H]1C[C@@H]2[C@]([C@@H]3[C@]1(C)C1=CC[C@H]([C@]1(C)CC3)[C@H]1COC([C@H]([C@@H](C1)O)O)(C)C)(C)C=CC(=O)C2(C)C,1
C=C1CC[C@H]2C(=C)C(=O)O[C@@H]2[C@H]2C(=C)CC[C@@H]12,1
CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC[C@H]2[C@@]1(C)CC[C@@]1([C@@H]2[C@@H](CC1)C(=C)C)C)C)C,1
